,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2022-01-05,sh.600941,63.0000000000,63.5800000000,57.7500000000,57.8800000000,57.5800000000,255365409,15259495685.3400,0.521000,10.897443,1.079572,1.465142,-65.743438
1,2022-01-06,sh.600941,57.8800000000,59.3300000000,57.5800000000,58.0000000000,57.8800000000,116157682,6731421683.6100,0.207300,10.920036,1.081810,1.468180,-65.879740
2,2022-01-07,sh.600941,57.8000000000,58.0600000000,57.5900000000,57.6200000000,58.0000000000,63881165,3687982659.0900,-0.655200,10.848491,1.074722,1.458561,-65.448115
3,2022-01-10,sh.600941,57.7000000000,59.4900000000,57.6800000000,58.8000000000,57.6200000000,75326858,4402100218.1600,2.047900,11.070658,1.096731,1.488430,-66.788427
4,2022-01-11,sh.600941,58.6000000000,59.1200000000,57.9300000000,58.0900000000,58.8000000000,34700578,2030028650.8600,-1.207500,10.936981,1.083488,1.470458,-65.981968
5,2022-01-12,sh.600941,58.2900000000,58.2900000000,57.8000000000,58.1100000000,58.0900000000,25617132,1484862940.1000,0.034400,10.940747,1.083861,1.470964,-66.004685
6,2022-01-13,sh.600941,58.0100000000,58.0100000000,57.7800000000,57.8100000000,58.1100000000,24645018,1426048442.2300,-0.516300,10.884264,1.078266,1.463370,-65.663928
7,2022-01-14,sh.600941,57.7100000000,57.8000000000,57.6100000000,57.6500000000,57.8100000000,24019049,1385033374.8600,-0.276800,10.854140,1.075282,1.459320,-65.482190
8,2022-01-17,sh.600941,57.6500000000,57.7200000000,57.5900000000,57.6000000000,57.6500000000,26815585,1544964783.4500,-0.086700,10.844726,1.074349,1.458054,-65.425397
9,2022-01-18,sh.600941,57.6000000000,57.7300000000,57.5900000000,57.6200000000,57.6000000000,20774021,1196931882.5900,0.034700,10.848491,1.074722,1.458561,-65.448115
10,2022-01-19,sh.600941,57.6000000000,57.6200000000,57.5800000000,57.5800000000,57.6200000000,37308915,2148398655.6700,-0.069400,10.840960,1.073976,1.457548,-65.402680
11,2022-01-20,sh.600941,57.5900000000,57.7100000000,57.5800000000,57.6300000000,57.5800000000,23180332,1335238843.1900,0.086800,10.850374,1.074909,1.458814,-65.459473
12,2022-01-21,sh.600941,57.6100000000,57.6200000000,57.5800000000,57.5800000000,57.6300000000,19184425,1104712930.0400,-0.086800,10.840960,1.073976,1.457548,-65.402680
13,2022-01-24,sh.600941,57.6800000000,58.7300000000,57.6400000000,58.1900000000,57.5800000000,29709778,1724572860.5700,1.059400,10.955809,1.085354,1.472989,-66.095553
14,2022-01-25,sh.600941,57.9000000000,58.0300000000,57.5900000000,57.5900000000,58.1900000000,18436817,1063494095.3300,-1.031100,10.842843,1.074162,1.457801,-65.414039
15,2022-01-26,sh.600941,57.5900000000,58.0000000000,57.5800000000,57.6300000000,57.5900000000,18821205,1086086078.7000,0.069500,10.850374,1.074909,1.458814,-65.459473
16,2022-01-27,sh.600941,57.6000000000,57.6600000000,57.5800000000,57.5800000000,57.6300000000,33978377,1956625176.2400,-0.086800,10.840960,1.073976,1.457548,-65.402680
17,2022-01-28,sh.600941,57.5900000000,57.6100000000,57.5800000000,57.5800000000,57.5800000000,29008049,1670419330.1800,0.000000,10.840960,1.073976,1.457548,-65.402680
18,2022-02-07,sh.600941,57.7000000000,58.4100000000,57.7000000000,58.1500000000,57.5800000000,24754931,1437546474.4200,0.989900,10.948278,1.084608,1.471977,-66.050119
19,2022-02-08,sh.600941,58.2200000000,62.5000000000,58.2200000000,61.3000000000,58.1500000000,39345289,2383895932.7800,5.417000,11.541349,1.143361,1.551714,-69.628071
20,2022-02-09,sh.600941,60.8000000000,67.4300000000,60.7000000000,67.4300000000,61.3000000000,51244290,3334124378.8100,10.000000,12.695484,1.257697,1.706885,-76.590878
21,2022-02-10,sh.600941,68.0000000000,68.4000000000,64.4600000000,66.0000000000,67.4300000000,42181436,2792374406.8900,-2.120700,12.459508,1.234320,1.675159,-75.167255
22,2022-02-11,sh.600941,65.5100000000,67.4700000000,64.9000000000,66.6100000000,66.0000000000,27567357,1823478191.4400,0.924200,12.574664,1.245728,1.690641,-75.861983
23,2022-02-14,sh.600941,66.4800000000,67.6100000000,63.8000000000,64.0100000000,66.6100000000,22758754,1488716256.3600,-3.903300,12.083835,1.197103,1.624650,-72.900849
24,2022-02-15,sh.600941,63.9300000000,64.6500000000,62.5000000000,62.9000000000,64.0100000000,15999425,1014408908.0200,-1.734100,11.874289,1.176344,1.596477,-71.636672
25,2022-02-16,sh.600941,63.2800000000,64.3500000000,62.7600000000,63.5000000000,62.9000000000,15860582,1006268766.0800,0.953900,11.987557,1.187565,1.611706,-72.320011
26,2022-02-17,sh.600941,63.6000000000,64.5700000000,61.4400000000,61.8800000000,63.5000000000,18282727,1145192284.3900,-2.551200,11.681733,1.157268,1.570588,-70.474996
27,2022-02-18,sh.600941,61.4700000000,63.0500000000,61.3000000000,62.8000000000,61.8800000000,12345353,769923002.9100,1.486700,11.855411,1.174474,1.593939,-71.522782
